,NEIGHBORHOOD,BLOCK,LOT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE
0,ALPHABETCITY,397.8666666666667,37.93333333333333,10009.0,14.333333333333334,1.4666666666666666,15.466666666666667,2712.9333333333334,9823.0,1910.5333333333333,2.2666666666666666,6901428.2
1,CHELSEA,773.8,32.6,10008.933333333332,8.666666666666666,1.9333333333333333,10.6,3413.4,14703.4,1921.9333333333334,2.8,10196387.666666666
2,CHINATOWN,256.90909090909093,15.181818181818182,10006.0,10.0,2.1818181818181817,12.181818181818182,2929.2727272727275,12400.636363636364,1906.3636363636363,2.6363636363636362,5425137.636363637
3,CIVICCENTER,164.75,14.875,10012.25,5.75,2.0,7.75,3231.625,15399.5,1919.375,2.75,6030541.625
4,CLINTON,1061.857142857143,52.57142857142857,10021.42857142857,8.285714285714286,1.2857142857142858,9.571428571428571,2557.3571428571427,8838.57142857143,1910.7857142857142,2.0714285714285716,5893214.285714285
5,EASTVILLAGE,445.2413793103448,29.586206896551722,10005.896551724138,10.586206896551724,1.6206896551724137,12.206896551724139,2229.5862068965516,7765.6551724137935,1904.1379310344828,2.103448275862069,6002746.310344827
6,FASHION,819.0,34.142857142857146,10005.857142857143,3.4285714285714284,2.0,5.428571428571429,2359.4285714285716,8193.142857142857,1917.142857142857,2.857142857142857,5669380.285714285
7,FINANCIAL,56.5,25.625,10017.5,5.875,1.625,7.5,2214.375,9374.875,1906.125,2.5,6900000.0
8,FLATIRON,832.7142857142857,32.57142857142857,10008.857142857143,9.714285714285714,1.7142857142857142,11.428571428571429,2518.285714285714,10207.857142857143,1910.7142857142858,2.5714285714285716,9802067.57142857
9,GRAMERCY,883.6666666666666,37.5,10005.333333333334,10.0,1.5,11.333333333333334,2379.6666666666665,8330.5,1912.6666666666667,1.8333333333333333,6597166.666666667
10,GREENWICHVILLAGE-CENTRAL,540.0,49.8,10010.8,6.5,1.1,7.6,1916.4,6296.0,1910.0,2.0,5643002.5
11,GREENWICHVILLAGE-WEST,589.9285714285714,64.0,10014.0,14.0,2.0714285714285716,16.0,2651.6428571428573,11037.5,1911.357142857143,1.7142857142857142,12265040.142857144
12,HARLEM-CENTRAL,1899.0263157894738,44.10526315789474,10029.684210526315,15.0,2.0789473684210527,17.07894736842105,3658.3684210526317,15073.684210526315,1913.921052631579,1.9473684210526316,3483714.1315789474
13,HARLEM-EAST,1682.8076923076924,54.57692307692308,10031.307692307691,10.692307692307692,1.5384615384615385,12.23076923076923,2568.6923076923076,11004.076923076924,1919.0,1.9230769230769231,2482190.6153846155
14,HARLEM-UPPER,2074.3076923076924,29.615384615384617,10031.0,28.923076923076923,3.769230769230769,32.69230769230769,8138.2307692307695,37276.07692307692,1921.8461538461538,1.8461538461538463,7071538.461538462
15,HARLEM-WEST,1978.0,34.0,10029.0,39.5,2.0,41.5,7495.5,35063.0,1912.5,2.0,3892520.5
16,INWOOD,2216.5,58.5,10141.25,23.0,2.75,25.75,4475.0,17804.0,1915.0,2.0,3253014.0
17,KIPSBAY,921.0,29.0,10003.0,5.5,1.0,6.5,2271.5,7311.0,1910.0,2.0,5312500.0
18,LITTLEITALY,490.8333333333333,18.833333333333332,10012.25,14.416666666666666,1.6666666666666667,16.083333333333332,3001.5,12256.666666666666,1904.5833333333333,2.3333333333333335,10665527.083333334
19,LOWEREASTSIDE,367.9375,40.4375,10002.0,18.9375,2.8125,21.625,3199.9375,14182.125,1908.8125,1.9375,8994687.5
20,MANHATTANVALLEY,1842.0,40.4,10025.2,19.2,1.8,20.6,4618.8,18980.8,1912.0,1.8,4455107.2
21,MIDTOWNCBD,1297.0,42.0,10018.666666666666,4.666666666666667,2.3333333333333335,7.0,2119.3333333333335,7563.0,1918.3333333333333,2.6666666666666665,8964000.0
22,MIDTOWNEAST,1333.0,44.4,10021.0,7.6,1.5,9.1,2223.7,7282.0,1900.1,2.7,5405000.0
23,MIDTOWNWEST,1027.75,59.5,10027.5,8.25,1.0,9.25,1761.5,7157.5,1922.5,2.0,4758039.25
24,MURRAYHILL,884.4347826086956,51.82608695652174,10016.0,14.08695652173913,1.6956521739130435,15.782608695652174,2372.4347826086955,13084.91304347826,1919.0869565217392,2.3043478260869565,7049591.304347826
25,SOHO,461.23809523809524,20.428571428571427,10012.333333333334,5.666666666666667,2.238095238095238,7.904761904761905,3124.3809523809523,13161.47619047619,1906.1904761904761,2.7142857142857144,12472228.333333334
26,SOUTHBRIDGE,99.5,28.0,10038.0,24.5,1.5,26.0,3444.5,18191.5,1955.0,3.0,13875000.0
27,TRIBECA,156.85714285714286,24.0,10011.285714285714,2.5714285714285716,1.4285714285714286,3.857142857142857,1949.142857142857,8632.42857142857,1914.2857142857142,2.2857142857142856,8062142.857142857
28,UPPEREASTSIDE(59-79),1415.6666666666667,46.857142857142854,10041.952380952382,14.404761904761905,1.619047619047619,16.0,3216.9761904761904,19259.190476190477,1915.1190476190477,2.0952380952380953,9027514.57142857
29,UPPEREASTSIDE(79-96),1540.3870967741937,42.38709677419355,10074.677419354839,15.419354838709678,1.935483870967742,17.35483870967742,2685.1935483870966,9520.354838709678,1918.741935483871,1.903225806451613,6496225.806451613
30,UPPERWESTSIDE(59-79),1158.25,63.5,10023.75,23.5,2.0,25.5,4884.5,26556.75,1907.75,2.0,19147500.0
31,UPPERWESTSIDE(79-96),1230.0,32.666666666666664,10024.333333333334,17.666666666666668,3.6666666666666665,21.333333333333332,3670.3333333333335,29756.333333333332,1911.6666666666667,1.6666666666666667,20833333.333333332
32,UPPERWESTSIDE(96-116),1871.0,44.25,10025.0,16.25,2.0,18.25,3643.25,16533.0,1924.0,2.0,6064281.0
33,WASHINGTONHEIGHTSLOWER,2129.8,83.3,10032.3,35.9,2.3,38.2,8981.7,37144.7,1918.3,2.0,6473366.5
34,WASHINGTONHEIGHTSUPPER,2167.0,83.5,10036.5,39.916666666666664,2.5833333333333335,42.5,9350.166666666666,36646.25,1919.6666666666667,1.8333333333333333,6731500.0
