,NEIGHBORHOOD,BLOCK,LOT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE
0,ALPHABETCITY,397.8666666666667,37.93333333333333,10009.0,0.1365079365079365,0.18333333333333332,0.1380952380952381,0.1696962115051813,0.08813264308208547,1910.5333333333333,2.2666666666666666,0.138028564
1,CHELSEA,773.8,32.6,10008.933333333332,0.08253968253968254,0.24166666666666667,0.09464285714285715,0.21351097766935637,0.13191993324779958,1921.9333333333334,2.8,0.20392775333333332
2,CHINATOWN,256.90909090909093,15.181818181818182,10006.0,0.09523809523809522,0.2727272727272727,0.10876623376623376,0.18322841854461294,0.11125937683264725,1906.3636363636363,2.6363636363636362,0.10850275272727274
3,CIVICCENTER,164.75,14.875,10012.25,0.05476190476190476,0.25,0.06919642857142858,0.20214080190154501,0.1381653911373893,1919.375,2.75,0.1206108325
4,CLINTON,1061.857142857143,52.57142857142857,10021.42857142857,0.07891156462585035,0.16071428571428573,0.08545918367346939,0.1599647928227399,0.07930028108213417,1910.7857142857142,2.0714285714285716,0.11786428571428573
5,EASTVILLAGE,445.2413793103448,29.586206896551722,10005.896551724138,0.10082101806239736,0.2025862068965517,0.10899014778325122,0.13946245117261222,0.06967400138541135,1904.1379310344828,2.103448275862069,0.12005492620689656
6,FASHION,819.0,34.142857142857146,10005.857142857143,0.03265306122448979,0.25,0.04846938775510203,0.1475841978750592,0.0735094507939641,1917.142857142857,2.857142857142857,0.11338760571428572
7,FINANCIAL,56.5,25.625,10017.5,0.055952380952380955,0.203125,0.06696428571428571,0.13851097766935636,0.08411203423741892,1906.125,2.5,0.138
8,FLATIRON,832.7142857142857,32.57142857142857,10008.857142857143,0.09251700680272108,0.21428571428571427,0.10204081632653061,0.1575208428276546,0.0915856082871165,1910.7142857142858,2.5714285714285716,0.19604135142857143
9,GRAMERCY,883.6666666666666,37.5,10005.333333333334,0.09523809523809523,0.1875,0.10119047619047618,0.14885010737891202,0.07474182868729645,1912.6666666666667,1.8333333333333333,0.13194333333333333
10,GREENWICHVILLAGE-CENTRAL,540.0,49.8,10010.8,0.06190476190476191,0.1375,0.06785714285714287,0.11987239632201163,0.05648815238163597,1910.0,2.0,0.11286004999999999
11,GREENWICHVILLAGE-WEST,589.9285714285714,64.0,10014.0,0.13333333333333333,0.25892857142857145,0.14285714285714285,0.16586244180539547,0.09902922203181497,1911.357142857143,1.7142857142857142,0.24530080285714284
12,HARLEM-CENTRAL,1899.0263157894738,44.10526315789474,10029.684210526315,0.14285714285714288,0.2598684210526316,0.1524906015037594,0.22883395390333594,0.1352421490846364,1913.921052631579,1.9473684210526316,0.06967428263157895
13,HARLEM-EAST,1682.8076923076924,54.57692307692308,10031.307692307691,0.10183150183150183,0.19230769230769232,0.10920329670329669,0.16067381670684355,0.09872934784784199,1919.0,1.9230769230769231,0.04964381230769231
14,HARLEM-UPPER,2074.3076923076924,29.615384615384617,10031.0,0.2754578754578755,0.47115384615384615,0.2918956043956044,0.5090530286627115,0.3344435694759138,1921.8461538461538,1.8461538461538463,0.14143076923076922
15,HARLEM-WEST,1978.0,34.0,10029.0,0.3761904761904762,0.25,0.3705357142857143,0.4688496903734284,0.31458768852561975,1912.5,2.0,0.07785041
16,INWOOD,2216.5,58.5,10141.25,0.21904761904761905,0.34375,0.22991071428571427,0.27991493088134106,0.159738733323165,1915.0,2.0,0.06506028
17,KIPSBAY,921.0,29.0,10003.0,0.05238095238095238,0.125,0.05803571428571429,0.1420841934071433,0.06559480337708712,1910.0,2.0,0.10625000000000001
18,LITTLEITALY,490.8333333333333,18.833333333333332,10012.25,0.13730158730158729,0.20833333333333334,0.14360119047619047,0.18774629386376432,0.10996767064129365,1904.5833333333333,2.3333333333333335,0.21331054166666666
19,LOWEREASTSIDE,367.9375,40.4375,10002.0,0.18035714285714285,0.3515625,0.19308035714285715,0.20015872271220367,0.12724301748656433,1908.8125,1.9375,0.17989375
20,MANHATTANVALLEY,1842.0,40.4,10025.2,0.18285714285714288,0.225,0.1839285714285714,0.28890973916307,0.17029706523592059,1912.0,1.8,0.08910214400000001
21,MIDTOWNCBD,1297.0,42.0,10018.666666666666,0.044444444444444446,0.2916666666666667,0.0625,0.13256604324346866,0.06785576500354397,1918.3333333333333,2.6666666666666665,0.17928
